Education,Education FOS
Université Hassan II,"Human Resources Management, Économie de gestion, Marketing, Management de la Communication des Organisations, Fondamentale Science Mathématique; Informatique Parcours Base de Données, Deep learning, machine learning, neural network, image processing, Droit des affaires, Economie Internationale et Developpement Economique, Sciences de l'eau et de l'environnement, Audit Contrôle de Gestion, Management et droit des transports internationaux de marchandises, Supply Chain Management, Management des organisations, Gestion du Web / multimédia et webmaster, management des operations commerciales et internationales, Econometrics and Quantitative Economics, finance, Relations Economiques Internationales, Gestion, Economie et Gestion, Management logistique, Économie et gestion des entreprises, sciences des mathématiques; Ain Chock, Économie et gestion, Production, Qualité, Maintenance, sciences économiques, économie générale"
Université Hassan II  Casablanca,Génie Logistique et industriel
Université Hassan II  faculté des sciences ben m'sik,Chimie
Université Hassan II - Casablanca,Chimie
"Université Hassan II - Casablanca, Faculté Des Sciences Ben M'Sik",Informatique
Université Hassan II - Ecole Supérieure de Technologie de Casablanca,Administration et concepts avancés des bases de données
Université Hassan II - FSJES Casablanca,Gestion des Ressources Humaines
Université Hassan II - FSJES Mohammedia,Sciences Économiques et Gestion
Université Hassan II - Faculté des sciences et techniques Mohammedia,Electronique Informatique
Université Hassan II - Mohamedia,sociologie Urbaine
Université Hassan II - Mohammedia,"Génie Energétique, Économétrie et économie quantitative, Réseaux et Systéme"
Université Hassan II AIN-CHOCk Faculté Des Sciences Économiques Et Sociales,Economics
Université Hassan II Ain Sebâa. Casablanca,Économie
Université Hassan II Ain sebaa,Managment and Economics
Université Hassan II Ain-Chock Casablanca,"économie et gestion d’entreprise, sciences économiques générales"
